Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Agnasia	Агнасия	Агнасия	нет	гуманоид, анимация=эльфийка-клерик	agnasi.CRE
Air Aspect	Воздушный Страж	Аспект Воздуха	да	монстр, анимация=WYVERN - 496	airaspec.CRE
Air Elemental	Элементаль Воздуха	Элементаль Воздуха	нет	гуманоид-гигант, анимация=элементаль воздуха	elair01.CRE
Air Mephit	Воздушный мефит	Воздушный мефит	нет	гуманоид, анимация=имп	mepair01.CRE
Ajantis	Аджантис	Аджантис	нет	NPC	ajanti.CRE
Akadi	Акади	(-)	да	(-)	(-)
Akae	Акай	Акае	да	гуманоид, анимация=эльф-боец	akae.CRE
Akata	Аката	Аката	нет	селение, где жил Йенкс (из рассказа Яна)	(-)
Alagar	Алагар	(-)	да	(-)	(-)
Alai	Алай	Алай	нет	гуманоид, анимация=мужчина-боец	alai.CRE
Alain	Ален	Элейн	да	гуманоид, анимация=крестьянин	mtbe9.CRE
Alaine Greenleaf	Алаин Зеленолист	(-)	да	владелец Уравнителя (длинный меч нейтральности)	(-)
Alan Blackblade	Алан Блэкблейд	Алан Блэкблейд	нет	гуманоид, анимация=мужчина-вор	alanbl.CRE
Alar	Алар	Алар	нет	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	alar.CRE
Alatelo De Bonito	Алатело де Бонито	Алатело де Бонито	нет	гуманоид, анимация=мужчина-маг	sevdru01.CRE
Alatos	Алатос	Алатос	нет	гуманоид, анимация=мужчина-вор	alatos.CRE
"Alatos ""Ravenscar"" Thuibuld"	Алатос 'Воронов Шрам' Туйбулд	Алатос 'Воронов Шрам' Туйбулд	нет	гуманоид, анимация=мужчина-вор	alatos.CRE
Alaundo	Алаундо	Алаундо	нет	мудрец, говорящий о потомках Баала	(-)
Albert	Альберт	Альберт	нет	гуманоид, анимация=мальчик	albert.CRE
Alchra Diagott	Алкра Диаготт	Алкра Диаготт	нет	Нежить, анимация=лич	udtrap04.CRE
Aldeth Sashenstar	Альдет Сашенстар	Альдет Сашенстар	нет	гуманоид, анимация=мужчина-боец	aldeth.CRE
Alenina	Аленина	Аленина	нет	гуманоид, анимация=женщина-клерик	trtavp05.CRE
Alexander	Александр	Александр	нет	гуманоид, анимация=мужчина-боец	alexan.CRE
Alexander Ralisar	Александр Рейлизар	Александр Рэлизар	да	гуманоид, анимация=мужчина-вор	sarbha01.CRE
Alfons the Tax Collector	Альфонс, Сборщик Налогов	Альфонс, Сборщик Налогов	нет	гуманоид, анимация=толстяк	pltax01.CRE
Alfonso de Noble	Альфонсо де Нобль	(-)	да	древний рыцарь-спрайт, владелец кижала Pixie Prick	(-)
Algernon	Алджернон	Алгернон	да	гуманоид, анимация=толстяк	algern.CRE
Algor	Альгор	Альгор	нет	гуманоид, анимация=мпящий мужчина	pplove.CRE
Alhelor	Алхелор	Алхелор	нет	гуманоид, анимация=мужчина-маг	alhel.CRE
Alhoon	Алхун	Алхун	нет	Нежить, анимация=ловец разума	melsum06.CRE
Alianna	Алианна	Алианна	нет	гуманоид, анимация=элементаль воздуха	d1ghost.CRE
Alibakkar	Алибаккар	(-)	да	(-)	(-)
Alibakkar Guard	Охранник Алибаккаров	Охранник Алибаккеров	да	гуманоид, анимация=мужчина-клерик	trfued06.CRE
Alnarow	Альнароу	Альнароу	нет	гуманоид, анимация=эльф-вор	parthf.CRE
Alora	Алора	Алора	нет	гуманоид, анимация=женщина-полурослик-вор	alora.CRE
Alphonse	Альфонс	Альфонс	нет	гуманоид, анимация=крестьянин	alphonse.CRE
Altar	Алтарь	Алтарь	нет	монстр, анимация=FIRE_RING -	ppalt.CRE
Altheia	Алтея	Алтея	нет	гуманоид, анимация=куртизанка	dharlot2.CRE
Alu-Fiend	Сверкающий демон	Алуфинд	да	гуманоид, анимация=эльфийка-боец	alufie01.CRE
Alustriel	Алустриэль	Алустриель	да	гуманоид, анимация=эльфийка-маг	sahimp05.CRE
Alvanhendar	Альванхендар	Алванхендар	да	гуманоид, анимация=мужчина-полурослик-клерик	alvanh.CRE
Alyra	Алира	Алира	нет	гуманоид, анимация=мужчина-вор	c6alyra.CRE
Alyth	Алит	Адит	да	гуманоид, анимация=женщина-вор	alyth.CRE
Am-Si	Ам-Си	Ам-Си	нет	гуманоид, анимация=мужчина-монах	amsi.CRE
Ama	Ама	Ама	нет	гуманоид, анимация=женщина-вор	shthass1.CRE
Amac	Амак	Амак	нет	гуманоид, анимация=мальчик	trkid02.CRE
Amalas	Амалас	Амалас	нет	гуманоид, анимация=мужчина-боец	ruffian.CRE
Amarande	Амаранд	Амаранда	да	гуманоид, анимация=мужчина-клерик	amaran.CRE
Amaunator	Амонатор	(-)	да	Бог Солнца, Магмы	(-)
Amelissan the Blackhearted	Амелиссан Черное Сердце	(-)	да	см.Melissan	(-)
Ameralis Zauviir	Амералис Заувиир	Амералис Заувиир	нет	гуманоид, анимация=женщина-дроу	gorwom04.CRE
Amnish Bodyguard	Телохранитель из Амна	Телохранитель из Амна	нет	гуманоид, анимация=мужчина-боец	bodyg1.CRE
Amnish Centurion	Центурион Амна	Центурион Амна	нет	гуманоид, анимация=солдат Амна	amncen1.CRE
Amnish Guard	Страж Амна	Страж Амна	нет	гуманоид, анимация=солдат Амна	bamng01.CRE
Amnish Legionary	Легионер Амна	Легионер Амна	нет	гуманоид, анимация=солдат Амна	amnleg01.CRE
Amnish Soldier	Солдат Амна	Солдат Амна	нет	гуманоид, анимация=солдат Амна	amng1.CRE
Amnizu	Амнизу	(-)	да	нет в основной игре	(-)
Amnizu Wizard	Волшебник Амнизу	(-)	да	(-)	(-)
Amuana	Амуана	Амуана	нет	Нежить, анимация=девочка	shagrl01.CRE
Anarg	Анарг	Анарг	нет	гуманоид, анимация=мужчина-боец	kaypal01.CRE
Anath	Анат	Анат	нет	гуманоид, анимация=THIEF_FEMALE_HUMAN_LOW - 21264	rngwlf01.CRE
Ancan	Анкан	Анкан	нет	гуманоид, анимация=мужчина-боец	obssol03.CRE
Andante	Анданте	Анданте	нет	гуманоид, анимация=мужчина-боец	ppduel1.CRE
Andar the Pirate	Андар Пират	Пират Андар	да	гуманоид, анимация=мужчина-боец	pirpir02.CRE
Andarsson	Андарссон	Андарссон	нет	гуманоид, анимация=раб	andars.CRE
Ander	Эндер	Эндер	нет	гуманоид, анимация=крестьянин	uhman01.CRE
Andorian	Андориан	Андориан	нет	гуманоид-гигант, анимация=IC_MINOTAUR - 57456	slandor.CRE
Andout	Андоут	Андоут	нет	гуманоид, анимация=крестьянин	andout.CRE
Andrew of the Dice	Эндрю Игрок	Эндрю Игрок	нет	гуманоид, анимация=STATIC_PEASANT_MAN_STOOL - 16641	crogam02.CRE
Andris	Андрис	Андрис	нет	монстр, анимация=мужчина-маг	andris.CRE
Angel the cat	Ангел-кошка	Ангел-кошка	нет	животное, анимация=кошка	catp.CRE
Angelo	Анжело	Анжело	нет	гуманоид, анимация=мужчина-боец	angelo.CRE
Anguiliian	Алгилииан	Алгилииан	нет	гуманоид, анимация=IC_SALAMANDER2 - 59664	sahangu.CRE
Angus the Giant Beaver	гигантский бобер Ангус	Ангус Гигантский Бобер	да	из историй Яна Янсена	(-)
Anishai	Анишай	Анишаи	да	гуманоид, анимация=монашка	thief7.CRE
Ankheg	Анхег	Анкег	да	монстр, анимация=анхег	ankheg.CRE
Annalynn	Анналинн	Анналинн	нет	гуманоид, анимация=куртизанка	trple03.CRE
Announcer	Распорядитель	Диктор	да	гуманоид, анимация=STATIC_NOBLE_MAN - 46592	anno1.CRE
Ano	Ано	Ано	нет	орк из историй Яна Янсена	(-)
Anomen	Аномен	(-)	да	NPC, человек, воин-клерик	anomen10.CRE
Anomen Delrin	Аномен Делрин	Аномен	да	(-)	(-)
Antenos	Антенос	Антенос	нет	гуманоид, анимация=мужчина-вор	antenos.CRE
Anti-Paladin	Анти-Паладин	Падший Паладин	да	гуманоид, анимация=гитьянки	gith03.CRE
Aoln	Аолн	Аолн	нет	гуманоид, анимация=мужчина-боец	aoln.CRE
Aphril	Эйфрил	Эйфрил	нет	гуманоид, анимация=женщина-маг	ppaph2.CRE
Apo Pettiwick	Апо Петтивик	Апо Петтивик	нет	прабабушка Яна по версии Фаргуса, а на самом деле двоюродная тетя	(-)
Apparition	Видение	Видение	нет	Нежить, анимация=мужчина-маг	elearb01.CRE
Apprentice	Ученик	Ученик	нет	гуманоид, анимация=мпящий мужчина	gorapr.CRE
Apprentice Torturer Douglas	Дуглас Ученик Палача	Дуглас Ученик Палача	нет	гуманоид, анимация=мальчик	arnboy01.CRE
Aramir Estel	Арамир Эстель	(-)	да	(-)	(-)
Aran Linvail	Аран Линвэйл	Аран Линвэйл	нет	гуманоид, анимация=мужчина-вор	aran.CRE
Aranthis	Арантис	Арентис	да	животное, анимация=DOG_MOON - 29698	teldog.CRE
Araphor Carvel	Арапхор Карвел	(-)	да	(-)	(-)
Aravorn	Араворн	(-)	да	искатель приключений, его имененм названо магическое кольцо	(-)
Archer	Лучник	Лучник	нет	гуманоид, анимация=женщина-боец	ar18arch.CRE
Archivist	Архивариус	Архивариус	нет	гуманоид, анимация=мужчина-маг	gorarc.CRE
Ardenor Crush	Арденор Краш	Арденор Краш	нет	гуманоид, анимация=хобгоблин	ardeno.CRE
Ardic Santele	Ардик Сантель	Ардик Сантель	нет	гуманоид, анимация=мужчина-боец	sarson01.CRE
Ardrouine	Ардруин	Ардруин	нет	гуманоид, анимация=крестьянка	ardrou.CRE
Ardulace	Ардулейс	Ардулейс	нет	дом дроу	(-)
Ardulace (Matron)	Ардулейс (Матрона)	Матрона Ардулейс	да	см. тайже Matron Mother Ardulace	(-)
Arenthis	Арентис	Арентис	нет	гуманоид, анимация=мужчина-клерик	arenthis.CRE
Arghain	Аргейн	Аргейн	нет	гуманоид-гигант, анимация=полу-огр	arghai.CRE
Arghh	Ааах!	Ааах!	нет	гуманоид-гигант, анимация=огр	arghh.CRE
Arkanis	Арканис	Арканис	нет	гуманоид, анимация=мужчина-дварф-боец	arkani.CRE
Arkanis Gath	Арканис Гат	Арканис Гат	нет	гуманоид, анимация=мужчина-вор	arkanisg.CRE
Arkion	Аркион	Аркион	нет	гуманоид, анимация=мужчина-маг	arkion.CRE
Arkushule	Аркушуль	Аркушуль	нет	гуманоид, анимация=женщина-маг	arkush.CRE
Arla Surestep	Арла Верноход	(-)	да	владелица пращи Драконобич	(-)
Arledrian	Арледриан	Арледриан	нет	гуманоид, анимация=эльф-вор	arled.CRE
Arlin	Арлин	Арлин	нет	гуманоид, анимация=эльф-маг	arlin.CRE
Armored Figure	Фигура в доспехах	Фигура в доспехах	нет	гуманоид, анимация=Саревок - 2564	sarev1.CRE
Arnie	Арни	(-)	да	(-)	(-)
Arnolinus	Арнолинус	Арнолинус	нет	гуманоид, анимация=мужчина-дварф-клерик8	shop02.CRE
Arny Max	Арни Макс	Арни Макс	нет	гуманоид, анимация=MDK2_MAX - 32555	mdk2max.CRE
Arresting Officer	Офицер конвоя	Офицер Конвойный	да	гуманоид, анимация=мужчина-клерик	haguar01.CRE
Arresting Soldier	Конвойный	Конвойный	нет	гуманоид, анимация=мужчина-клерик	haguar02.CRE
Artemis Entreri	Артемис Энтрери	Артемис Энтрери	нет	знаменитый вор	artemis.CRE
Arthur	Артур	Артур	нет	гуманоид, анимация=дворянин	mourner3.CRE
Arundel	Арундел	(-)	да	архидруид	(-)
Asana Haraad	Асана Хараад	Асана Хараад	нет	гуманоид, анимация=женщина-вор	amasana.CRE
Ashdale	Яснодол	(-)	да	новое имя ребёнка Сернда	(-)
Ashen	Ашен	Ашен	нет	гуманоид, анимация=дворянин	ashen.CRE
Ashirukuru	Аширукуру	Аширукуру	нет	Нежить, анимация=эльфийка-вор	ashiru.CRE
Aslyferund	Аслиферунд	(-)	да	создатель одноименного кольчужного доспеха	(-)
Asmay Jahag	Асмей Яхаг	Эсмай Йяхаг	да	гуманоид, анимация=женщина-боец	sarbha03.CRE
Ason	Эйзон	Азон	да	гуманоид, анимация=мальчик	pirkid01.CRE
Assassin	Убийца	Убийца	нет	гуманоид, анимация=эльф-маг	plass01.CRE
Assassin - Assassin	Убийца	Убийца	нет	гуманоид, анимация=мужчина-вор	csgayl.CRE
Astral Deva	Астральный Дэв	Астральная Дева	да	монстр, анимация=солар	devast01.CRE
Astral Hound	Астральный Пес	Астральный Пес	нет	животное, анимация=DOG_WAR - 29697	dogwawp.CRE
Astral Phase Spider	Астральный Фазовый паук	Astral Phase Spider	да	монстр, анимация=SPIDER_PHASE - 31234	SPIDPHAS.CRE
Athach	Атач	(-)	да	(-)	(-)
Atta	Атта	Атта	нет	гуманоид, анимация=мальчик	uhboy01.CRE
Aulava	Аулава	Аулава	нет	гуманоид, анимация=женщина-вор	crothf02.CRE
Aunt Petunia	Тетушка Петуния	Тетя Петуния	да	из историй Яна Янсена	(-)
Auntie	Тетушка	(-)	да	из историй Яна Янсена, см.также Aunty	(-)
Aunty	Тетушка	(-)	да	из историй Яна Янсена, см.также Aunty	(-)
Auril	Аурил	Аурил	нет	Богиня	(-)
Aurumach Rilmani	Аурумах Рилмани	Аурумах Рилмани	нет	гуманоид, анимация=HULA_WIZARD - 3257	gorgua01.CRE
Avarice	Аварис	Аварис	нет	гуманоид, анимация=мужчина-дварф-вор	avaricem.CRE
Avatar	Аватар	Аватар	нет	гуманоид, анимация=мужчина-клерик	riftg03.CRE
Avatar of Rillifane	Аватара Риллифейна	Аватара Риллифейна	нет	гуманоид, анимация=SHAMBLING_MOUND - 29442	suavatar.CRE
Avaunis Adelez	Аваунис Аделез	(-)	да	наемник, человек, паладин	(-)
Avery	Эйвери	Эвэри	да	гуманоид, (надо посмотреть в БГ1)	AVERY.CRE
Avrabar	Аврабар	(-)	да	(-)	(-)
Azamantes	Азамантис	Азамантис	нет	Нежить, анимация=лич	gorlic01.CRE
Azoun the First	Азун Первый	(-)	да	создатель меча Ильбрата	(-)
Azuth	Азут	(-)	да	(-)	(-)
Ba'ruk	Ба'рук	Ба'ук	да	гуманоид, анимация=хобгоблин	baruk.CRE
Baby Wyvern	Детеныш виверна	Крошка виверн	да	монстр, анимация=WYVERN - 496	nwyvbab.CRE
Badon's Ghost	Призрак Бадона	Призрак Бадона	нет	Нежить, анимация=мужчина-боец	shagho01.CRE
Baerin	Баэрин	Баэрин	нет	гуманоид, анимация=мужчина-боец	baerin.CRE
Baervan Wildwanderer	Баэрван Скиталец	Берван Дикий Странник	да	бог гномов, которому поклоняется Аэри	(-)
Baervar	Баэрван	(-)	да	то же, что и Baervan опечатка в тексте tob, исправлена в gtu	(-)
Balhifet	Балхифет	(-)	да	демон, в битве с которым пал Эверард	(-)
Balmitance	Балмитенс	Балмитенс	нет	гуманоид, анимация=дворянин	bdact07.CRE
Balmittance	Балмиттенс	Балмиттенс	нет	гуманоид, анимация=дворянин	bdact07.CRE
Balor	Балор	Балор	нет	монстр, анимация=танарри	balor01.CRE
Balthazar	Балтазар	Балтазар	нет	гуманоид, анимация=мужчина-монах	balth.CRE
Balthis	Балтис	(-)	да	(-)	(-)
Bandit	Бандит	Бандит	нет	гуманоид, анимация=мужчина-боец	bandcap.CRE
Bandon	Бэндон	Бэндон	нет	гуманоид, анимация=теневой вор	aelotus.CRE
Bane	Бэйн	(-)	да	Бог	(-)
Banshee	Баньши	Баньши	нет	Нежить, анимация=IC_WAILING_VIRGIN - 57586	banshe01.CRE
Baragh	Бараг	Бараг	нет	гуманоид, анимация=дроу	cuguard.CRE
Barbazu	Барбазу	(-)	да	(-)	(-)
Bardolan	Бардолан.	Бардолан.	нет	гуманоид, анимация=мужчина-клерик	bardol.CRE
Baresh	Бареш	Бареш	нет	гуманоид, анимация=мужчина-клерик	baresh.CRE
Barg	Барг	Барг	нет	гуманоид, анимация=мужчина-боец	nalbarg.CRE
Baris Cabal	Барис Заговорщик	(-)	да	нет в основной игре, может Bhaal Cabal (название пьесы)	(-)
Barl	Барл	Барл	нет	гуманоид, анимация=мужчина-клерик	barl.CRE
Baron Metrich	Барон Метрих	Барон Метрич	да	гуманоид, анимация=мужчина-боец	plmetr01.CRE
Baron Ployer	Барон Плойер	Барон Плойер	нет	гуманоид, анимация=мужчина-боец	baronp.CRE
Baron Thelokassyil	Барон Телокассийль	Барон Селлокассийль	да	гуманоид, анимация=сахуагин	sahbar03.CRE
Baronial Guard	Охранник Барона	Охранник Барона	нет	гуманоид, анимация=сахуагин	elesah02.CRE
Barracks Guard	Караульный	Страж казарм	да	гуманоид, анимация=мужчина-боец	docsol02.CRE
Bartender	Бармен	Бармен	нет	гуманоид, анимация=толстяк	barslim.CRE
Bassilus	Бассилус	Бассилус	нет	гуманоид, анимация=мужчина-клерик	bassil.CRE
Bat	Летучая мышь	Дубина	да	животное, анимация=летучая мышь (внутри)	bat_door.CRE
Battle Horror	Ужас Битвы	Ужас Битвы	нет	монстр, анимация=мужчина-боец	battho.CRE
Baurian Arathor	Бауриан Аратор	(-)	да	(-)	(-)
Bayard	Байярд	Байярд	нет	гуманоид, анимация=эльф-вор	BAYARD.CRE
Be'land	Би'лэнд	Белэнд	да	гуманоид, анимация=мужчина-клерик	beland.CRE
Beastmaster	Хозяин Зверей	Хозяин Зверей	нет	гуманоид, анимация=эльф-боец	beast.CRE
Becky	Беки	Беки	нет	гуманоид, анимация=крестьянка	becky.CRE
Bedlen Daglefodd	Бедлен Даглфодд	Бедлен Даглфодд	нет	гуманоид, анимация=мужчина-дварф-боец	udtrap06.CRE
Beeloo	Билу	(-)	да	=beeloo jansen	(-)
Beeloo Jansen	Билу Янсен	Билу Янсен	нет	гуманоид, анимация=мужчина-гном-вор	beeloo.CRE
Beggar	Нищий	Нищий	нет	гуманоид, анимация=STATIC_BEGGAR_MAN - 45568	bbegg1.CRE
Beggar Child	Беспризорник	Бездомный	да	гуманоид, анимация=мальчик	wilkid01.CRE
Beherant Diir	Берант Диир	Берант Диир	нет	гуманоид, анимация=толстяк	uhmer03.CRE
Beholder	Бехолдер	Созерцатель	да	монстр, анимация=бехолдер	behold01.CRE
Bel Dalemark	Бел Дэйлмарк	Бел Дэйлмарк	нет	гуманоид, анимация=толстяк	merchant.CRE
Belgrade	Белгрэйд	(-)	да	торговец	(-)
Bell Jar	Стеклянный колпак	Стеклянный Колпачок	да	монстр, анимация=птица	gorbel.CRE
Bellach	Беллак	(-)	да	(-)	(-)
Bellamy	Беллами	Беллами	нет	гуманоид, анимация=мужчина-полурослик-вор	bellam.CRE
Belle	Красотка	Красавица	да	гуманоид, анимация=женщина-боец	ffcust06.CRE
Belmin Gergas	Белмин Гергас	Белмин Гергас	нет	гуманоид, анимация=мужчина-клерик	belmin.CRE
Belt	Белт	Пояс	да	гуманоид, анимация=мужчина-боец	belt.CRE
Bendalis	Бендалис	Бендалис	нет	гуманоид, анимация=монах	bendal.CRE
Bene	Бене	Бене	нет	гуманоид, анимация=крестьянин	spbene.CRE
Benjy	Бенжи	Бенжи	нет	гуманоид, анимация=мужчина-клерик	benjy.CRE
Bentan	Бентан	Бентан	нет	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	bentan.CRE
Bentha	Бента	Бента	нет	гуманоид, анимация=женщина-маг	bentha.CRE
Bentley Mirrorshade	Бентли Мирроршейд	Бентли Мирроршейд	нет	гуманоид, анимация=мужчина-дварф-маг	bently.CRE
Berena Elkan	Берена Элкан	Берена Элкан	нет	гуманоид, анимация=женщина-боец	gromg10.CRE
Berenn	Беренн	Беренн	нет	гуманоид-гигант, анимация=огненный гигант	hgber01.CRE
Berinvar	Беринвар	Беринвар	нет	гуманоид, анимация=мужчина-боец	berinvar.CRE
Bernard	Бернард	Бернард	нет	трактирщик Медной Короны	(-)
Bernard - Bernard	Бернард	Бернард	нет	гуманоид, анимация=толстяк	bernard.CRE
Beroalf	Бероальф	(-)	да	владелец меча Рас (Танцующий клинок)	(-)
Berrun Ghastkill	Берун Гасткилл	Берун Гхасткил	да	гуманоид, анимация=эльф-боец	berrun.CRE
Berserk Warrior	Воин-берсерк	Воин-берсерк	нет	гуманоид, анимация=мужчина-боец	berser02.CRE
Bertrand the 'Companion'	Бертран 'Донжуан'	Бертранд 'Напарник'	да	гуманоид, анимация=мужчина-гном-боец	bertrand.CRE
Berun	Берун	(-)	да	(-)	(-)
Beshaba	Бешаба	(-)	да	Богиня Неудачи	(-)
Bessen	Бессен	Бессен	нет	гуманоид, анимация=толстяк	dmrest.CRE
Beyn	Бейн	Бейн	нет	гуманоид, анимация=мужчина-боец	beyn.CRE
Bhaal	Баал	Баал	нет	гуманоид, анимация=Слеер (убийца)	bhaal01.CRE
Bheren	Берен	Берен	нет	гуманоид, анимация=эльф-вор	bheren.CRE
Biff The Understudy	Бифф-Недоучка	Бифф Дублер	да	гуманоид, анимация=мужчина-боец	biff.CRE
Bigby	Бигби	(-)	да	известен своей рукой и кулаком	(-)
Bill	Билл	Билл	нет	гуманоид, анимация=мужчина-клерик	bill.CRE
Billy	Билли	Билли	нет	гуманоид, анимация=мужчина-боец	billy.CRE
Binkos	Бинкос	Бинкос	нет	гуманоид, анимация=крестьянин	binkos.CRE
Bird	Птица	Птица	нет	животное, анимация=птица (внутри)	bird_in.CRE
Bishop	Епископ	Епископ	нет	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	bgbishop.CRE
Bjornin	Бьорнин	Бйорнин	да	гуманоид, анимация=мужчина-боец	bjorni.CRE
Black Bear	Черный медведь	Черный медведь	нет	животное, анимация=черный медведь	bearbl.CRE
Black Lily	Черная Лилия	Черная Лилия	нет	гуманоид, анимация=женщина-вор	blackl.CRE
Black Market Thief	Воришка с черного рынка	Боп с черного рынка	да	торговец и торговка краденым	bmthief.CRE
Black Reaver	Черный Грабитель	Черный Вор	да	гуманоид, анимация=эльфийка-боец	zilarc01.CRE
Black Talon Elite	Элита Черного когтя	Элита Черного Когтя	нет	гуманоид, анимация=мужчина-боец	ironelit.CRE
Blacksmith	Кузнец	Кузнец	нет	гуманоид, анимация=толстяк	trmer04.CRE
Blind Priest	Слепой жрец	Слепой жрец	нет	гуманоид, анимация=мужчина-клерик	braiwa1.CRE
Blink Dog	Мерцающая Собака	Мерцающая Собака	нет	животное, анимация=DOG_WILD - 29696	dogblink.CRE
Blizzard Troll	Тролль Вьюги	Тролль Вьюги	нет	монстр, анимация=IC_TROLL1 - 5752	trolic03.CRE
Boalisk	Боалиск	Боалиск	нет	животное, анимация=змея	snakeb01.CRE
Bodhi	Бодхи	Бодхи	нет	вампирка	bodhi.CRE
Body	Тело	Тело	нет	гуманоид, анимация=дворянин	burn01.CRE
Body of Emissary Tar	Тело Агента Тара	Тело Агента Тара	нет	гуманоид, анимация=толстушка	emitar2.CRE
Bodyguard	Телохранитель	Телохранитель	нет	гуманоид, анимация=мужчина-боец	bdcoun03.CRE
Bolumir	Болумир	Болюмир	да	гуманоид, анимация=мужчина-клерик	kpchap01.CRE
Bondari	Бондари	Баундари	да	гуманоид, анимация=мужчина-полурослик-вор	bazpat01.CRE
Bone Blade	Костяное Лезвие	Костяное Лезвие	нет	оружие, анимация=DANCING_SWORD - 32537	bonebld.CRE
Bone Fiend	Демон Костей	Демон Костей	нет	монстр, анимация=IC_SKELETONB - 6192	dbonef01.CRE
Bone Golem	Костяной голем	Костяной голем	нет	гуманоид-гигант, анимация=IC_SKELETONB - 6192	icbone01.CRE
Boo	Бу	Бу	нет	хомяк Минска (Minsc)	boo.CRE
Book Merchant	Торговец Книгами	Торговец Книгами	нет	гуманоид, анимация=дворянин	imnbook1.CRE
Booter	Бутер	Бутер	нет	гуманоид, анимация=мужчина-дварф-боец	booter.CRE
Bor	Бор	Бор	нет	гуманоид, анимация=мужчина-полурослик-боец	bor.CRE
Borda	Борда	Борда	нет	гуманоид, анимация=эльф-вор	borda.CRE
Borinall	Бориналл	Бориналл	нет	гуманоид, анимация=теневой вор	borinall.CRE
Borinole Mann	Бориноль Манн	Бориноль Манн	нет	гуманоид, анимация=крестьянин	borin.CRE
Bork	Борк	Борк	нет	гуманоид, анимация=мужчина-боец	bork.CRE
Bouncer	Хвастун	Хвастун	нет	гуманоид, анимация=мужчина-клерик	bouncer.CRE
Bounty Hunter	Охотник за головами	Охотник за головами	нет	гуманоид, анимация=эльф-боец	bounha.CRE
Boy	Мальчик	Мальчик	нет	гуманоид, анимация=мальчик	amboy01.CRE
Boz	Боз	Боз	нет	гуманоид, анимация=огр	gpfight1.CRE
Brage	Брейг	Брейг	нет	гуманоид, анимация=мужчина-боец	brage.CRE
Brain Golem	Мозговой Голем	Мозговой Голем	нет	гуманоид-гигант, анимация=глиняный голем	golbra01.CRE
Brandilar	Брандильяр	Брандильяр	нет	гуманоид, анимация=мужчина-боец	brandi.CRE
Branet Al-Thon	Бранет Аль-Тон	Бранет Аль-Тон	нет	гуманоид, анимация=мужчина-боец	c6bran.CRE
